"","HGNC.ID","Approved.symbol"
"700","HGNC:33542","AK2P2"
"701","HGNC:17376","AK3"
"702","HGNC:31099","AK3P2"
"703","HGNC:39062","AK3P3"
"704","HGNC:39063","AK3P4"
"705","HGNC:39064","AK3P5"
"706","HGNC:39065","AK3P6"
"707","HGNC:363","AK4"
"708","HGNC:364","AK4P1"
"709","HGNC:39066","AK4P2"
"710","HGNC:21596","AK4P3"
"711","HGNC:39067","AK4P4"
"712","HGNC:39068","AK4P5"
"713","HGNC:39069","AK4P6"
"714","HGNC:365","AK5"
"715","HGNC:49151","AK6"
"716","HGNC:51678","AK6P1"
"717","HGNC:51679","AK6P2"
"718","HGNC:20091","AK7"
"719","HGNC:26526","AK8"
"720","HGNC:33814","AK9"
"721","HGNC:28285","AKAIN1"
"722","HGNC:367","AKAP1"
"723","HGNC:372","AKAP2"
"724","HGNC:373","AKAP3"
"725","HGNC:374","AKAP4"
"726","HGNC:375","AKAP5"
"727","HGNC:376","AKAP6"
"728","HGNC:377","AKAP7"
"729","HGNC:378","AKAP8"
"730","HGNC:29857","AKAP8L"
"731","HGNC:49758","AKAP8P1"
"732","HGNC:379","AKAP9"
"733","HGNC:368","AKAP10"
"734","HGNC:369","AKAP11"
"735","HGNC:39939","AKAP11-IT1"
"736","HGNC:370","AKAP12"
"737","HGNC:371","AKAP13"
"738","HGNC:24061","AKAP14"
"739","HGNC:18783","AKAP17A"
"740","HGNC:38514","AKAP17BP"
"741","HGNC:1170","AKIP1"
"742","HGNC:25744","AKIRIN1"
"743","HGNC:50794","AKIRIN1P1"
"744","HGNC:50797","AKIRIN1P2"
"745","HGNC:21407","AKIRIN2"
"746","HGNC:28822","AKIRIN2-AS1"
"747","HGNC:50796","AKIRIN2P1"
"748","HGNC:24108","AKNA"
"749","HGNC:28398","AKNAD1"
"750","HGNC:380","AKR1A1"
"751","HGNC:381","AKR1B1"
"752","HGNC:420","AKR1B1P1"
"753","HGNC:425","AKR1B1P2"
"754","HGNC:422","AKR1B1P3"
"755","HGNC:423","AKR1B1P4"
"756","HGNC:20002","AKR1B1P5"
"757","HGNC:33498","AKR1B1P6"
"758","HGNC:33497","AKR1B1P7"
"759","HGNC:33496","AKR1B1P8"
"760","HGNC:382","AKR1B10"
